"","Ref","PBE","B3LYP","M11","revM11"
"57",93.7,86.2,81.6,90.9,91.2
"58",89.3,80.1,76.2,87.9,89.7
"59",115,97,91.1,99.2,101.2
"60",84.2,84.5,85.3,82.9,84.4
"61",190.7,194.4,192,187.7,192.4
"62",181.4,178.6,180.5,179.9,183.3
"63",307.8,309.9,309.8,307.4,309.5
"64",420.3,420.1,420.9,420.8,421.5
"65",83.1,88.3,87.9,83.3,88
"66",182.6,188.2,187.6,186.2,187.3
"67",298,301.7,300.7,303.6,303
"68",107.2,109.5,107.9,107.4,107.9
"69",232.8,233.5,230.3,233.6,233.5
"70",141.3,141.2,138.5,142.1,142.2
"71",151.8,147.4,153.3,152.8,153.6
"72",131.1,131.2,132.7,133.2,134.7
"73",227.6,222,228.1,228,231.8
"74",324.5,313,323.3,323.2,329.2
"75",153.2,154.4,158.6,155.4,156.2
"76",242.3,239.1,244.7,242.3,243
"77",183.4,181.5,181.5,183.3,180.9
"78",106.7,105.4,104.1,106.3,104.6
"79",405.4,414.7,403,402.1,403.8
"80",563.5,571.4,563,562.1,563.7
"81",712.8,716.8,711.4,712.6,715.7
"82",313.3,326,313.1,313.8,315.5
"83",279.1,294.7,279.9,278.7,282.9
"84",374.4,385.6,373.2,373.7,377.4
"85",513.2,519.5,511.1,514.6,518.2
"86",438.6,452.6,443.6,450,452.8
"87",268.6,281,266.1,269.2,273.1
"88",75.7,79.3,70.5,68.2,67.7
"89",117.6,121.5,115.8,110.8,105.7
"90",103.1,113.6,101.8,103,99.5
"91",58.1,63.2,53.1,57.6,56.3
"92",171.1,178.8,165.5,165.2,162.6
"93",61.6,69.6,58.2,61.6,63.3
"94",535,519.2,529.7,533,537.3
"95",395.5,398.9,391.6,395.2,396.3
"96",473.8,477.5,471.1,474.6,474.7
"97",165.2,173.3,161,165.1,166.3
"98",322.9,332.7,310.9,316.7,318.8
"99",469.8,479.9,463.4,469.8,473.4
"100",466.3,496.5,448.1,463.2,467
"101",589.4,628.8,582.2,592.8,606.4
"102",704.8,720.8,702.4,702.7,706.2
"103",993.7,1030.9,987.2,992.9,1001.8
"104",962.7,995.6,952.9,958.4,961.8
"105",1071.6,1110.7,1068.6,1076.5,1083.6
"106",1012.4,1034.4,1009.3,1007.9,1011.8
"107",1004.1,1025.6,1000.4,1002,1007.6
"108",1237.7,1285,1235,1237.9,1244.9
"109",265.1,276.8,262.5,261.4,262.7
"110",312.7,329.1,291.8,307.1,310.5
"111",639.9,679.1,632.3,641.6,653.5
"112",476.3,500.4,466,478.8,490.6
"113",409.8,421.1,410.4,411.8,416.4
"114",615.8,635.4,616,617.7,621.2
"115",582.2,590.8,584,587.8,590.9
"116",601.3,641.5,602,606.5,616
"117",343.2,355.8,329.2,340,342.6
"118",457.5,476.7,451.5,460.6,470.1
"119",125.3,159.3,122.7,128,132.6
"120",109.5,104.7,110.3,109.3,112.5
"121",445.9,457.7,447.1,444.8,446.5
"122",785.3,810.8,781.8,787.5,797.1
"123",501,521.6,498,502,508.5
"124",363.9,370.4,354.2,362.4,366.2
"125",87,87.9,88.1,88.3,87.3
"126",384.9,381.2,358.8,378.2,376.1
"127",574.4,567.6,553.5,577.6,569.1
"128",603.8,611.9,605,604.1,607.7
"129",987.2,1011.3,977.8,989.8,999.3
"130",1001.6,1023.8,993.8,997.4,1005.3
"131",633.4,662.7,630.3,631.7,639.8
"132",677,694.3,675.1,676.7,682
"133",650.7,669.5,647.1,653.6,660.6
"134",698.6,710.3,694.8,695.3,704.3
"135",798.1,809.7,795.6,799.9,807.5
"136",810.4,821,806.2,811.3,817
"137",703.2,723.9,704.2,702.7,704.8
"138",682.7,701.4,678.3,684,688.6
"139",803,827.6,797.8,803.9,811.6
"140",978,1000,974.3,978.1,984.9
"141",853.4,867.9,849.1,855.9,862.4
"142",860.6,873.5,858.3,859.1,862.6
"143",1006.9,1014.9,1003.1,1006.4,1011.8
"144",1095.1,1111.1,1090.6,1096.6,1106.2
"145",1303,1313.8,1295.2,1301.5,1309.1
"146",1301.3,1313,1294.7,1300.2,1307.9
"147",1149,1167.1,1141.2,1147.6,1157.1
"148",1158.6,1175.3,1153.3,1156.4,1162
"149",1284.3,1315.2,1275.9,1289.2,1301.3
"150",1367.6,1409.2,1360.8,1362.4,1367.4
"151",581.6,603.4,582,582.5,588.2
"152",900.8,914.2,900.4,901.5,906.8
"153",1199.3,1216.4,1195.6,1199.3,1206.4
"154",532.3,557.9,533.5,534.2,537.6
"155",181.1,176.5,169.5,175.1,172
"156",232.3,254.4,233.6,261,243.9
"157",190.3,197.4,184.9,204.3,192.8
"158",182.9,186.4,170.4,189.8,180.2
"159",38.3,40.7,35.4,30.2,30.9
"160",54,55.9,54.4,57.2,54.6
"161",28.8,43.9,35,30.5,31.3
"162",47.2,48,41,33.5,35.8
"163",40.7,44.3,38.2,32.6,31.1
"164",38.8,43.1,38.8,33,39.5
"165",28.2,38.2,29.6,41.6,27.9
"166",70.8,85,56.6,60.3,40.5
"167",16.2,13.3,3.8,14.5,15.9
"168",17.3,9.1,-1.5,14.9,16.1
"169",80.5,84.8,78.9,95.3,85.4
