"","Ref","LSDA","GGA","mGGA","hGGA","hmGGA"
"CN",1.4318,1.1278,1.2966,1.3747,1.4253,1.368
"FCO",0.7678,0.7444,0.8032,0.8317,0.8662,0.8215
"FH-BH2",2.973,3.1479,3.1095,2.9501,3.0847,3.0227
"FH-NH2",4.6265,4.6766,4.6782,4.5646,4.6246,4.6393
"FH-OH",3.3808,3.2151,3.4185,3.3352,3.3974,3.4016
"H2CN",2.4939,2.5778,2.4593,2.4468,2.4918,2.4791
"H2O-Al",4.3573,4.1889,4.1944,4.3657,4.4005,4.2741
"HCHS",1.7588,1.6609,1.7713,1.7892,1.8357,1.7299
"HCO",1.6912,1.6065,1.674,1.6358,1.7711,1.7209
"HCP",0.3542,0.3388,0.485,0.4311,0.3545,0.3136
"HNO",1.6536,1.5793,1.5987,1.5115,1.666,1.6436
"HNO2",1.9345,1.9524,1.9887,1.9116,1.9706,1.9587
"HNS",1.4062,1.3789,1.3521,1.323,1.3756,1.3709
"HO2",2.1659,2.3119,2.198,2.098,2.1214,2.1665
"HOF",1.9168,1.8721,1.9261,1.8763,1.9261,1.9182
"HPO",2.6291,2.3349,2.3454,2.3221,2.5614,2.4967
"LiN",7.0558,6.6258,5.5154,6.8321,7.014,6.8469
"N2H2",2.8771,2.8749,2.8102,2.7213,2.8434,2.837
"NaLi",0.4837,-0.1785,0.456,0.2608,0.2444,0.3849
"NCl",1.1279,1.3884,1.0582,1.0968,1.0759,1.143
"NCO",0.7935,0.8606,0.7605,0.8335,0.7554,0.7708
"NF",0.0671,0.3429,0.0529,0.1487,0.058,0.0846
"NF2",0.1904,-0.0079,0.198,0.1429,0.2338,0.2029
"NH",1.5433,1.5321,1.4952,1.4847,1.5172,1.5157
"NH2",1.7853,1.7855,1.7505,1.7188,1.7669,1.7651
"NO",0.1271,0.2427,0.0952,0.1105,0.0638,0.0963
"NO2",0.335,0.2782,0.3299,0.2812,0.3891,0.3605
"NOCl",2.0773,1.6196,1.611,1.8626,2.0024,1.8652
"NP",2.8713,2.8217,2.6854,2.7355,2.9444,2.9093
"NS",1.8237,1.87,1.6785,1.6518,1.7763,1.8082
"O3",0.5666,0.6309,0.5996,0.5046,0.4552,0.5146
"OCl",1.279,1.4681,1.2892,1.1782,1.1946,1.2959
"OF",0.0205,-0.2508,-0.0133,-0.0263,0.0912,0.0286
"OF2",0.3252,0.2662,0.3414,0.3087,0.357,0.3467
"OH",1.655,1.6503,1.6479,1.6053,1.6503,1.648
"PCl",0.5657,0.2862,0.3479,0.4656,0.522,0.5089
"PF",0.8104,0.6164,0.7254,0.6623,0.7757,0.7949
"PH",0.4375,0.4447,0.4508,0.45,0.4563,0.3994
"PH2",0.5472,0.5763,0.5785,0.539,0.5731,0.5028
"PO",1.9617,1.8382,1.8503,1.8966,2.0904,2.0496
"PO2",1.4426,1.2894,1.3182,1.366,1.4784,1.4456
"PPO",1.8812,1.8136,1.7997,1.7817,1.9327,1.9812
"PS",0.6825,0.4854,0.5238,0.6702,0.7253,0.657
"SCl",0.069,-0.2227,-0.1396,0.0026,0.048,-0.0122
"SF",0.8139,0.5787,0.7018,0.6704,0.7955,0.7851
"SH",0.7727,0.7809,0.7883,0.7712,0.786,0.7496
"SiH",0.1138,0.1206,0.1495,0.1406,0.1658,0.0663
"SO-triplet",1.5606,1.4131,1.3901,1.4225,1.5576,1.5395
