"","Eref","PBE","SCAN"
"HgCl2",-0.77,-0.605,-0.735
"HgO",-0.47,-0.294,-0.427
"HgS",-0.3,-0.135,-0.137
"HgSe",-0.24,-0.215,-0.195
"HgTe",-0.22,-0.171,-0.168
"LaCl3",-2.78,-2.414,-2.775
"LaN",-1.57,-1.33,-1.627
"LaS",-2.36,-2.17,-2.378
"La2O3",-3.72,-3.468,-3.876
"La2S3",-2.51,-2.201,-2.468
"NbN",-1.22,-1.077,-1.249
"NbO2",-2.75,-2.447,-2.785
"NiF2",-2.25,-1.656,-1.98
"NiO",-1.24,-0.472,-0.765
"NiSb",-0.34,-0.273,-0.289
"NiSe",-0.31,-0.287,-0.255
"Ni3S2",-0.42,-0.374,-0.393
"PdCl2",-0.69,-0.482,-0.68
"PdO",-0.44,-0.445,-0.754
"PdS2",-0.28,-0.268,-0.369
"PtO",-0.37,-0.242,-0.485
"PtO2",-0.57,-0.465,-0.757
"PtS",-0.42,-0.411,-0.613
"PtS2",-0.38,-0.351,-0.494
"Pt3O4",-0.4,-0.44,-0.69
"ScAs",-1.39,-1.375,-1.521
"ScCl3",-2.4,-2.125,-2.427
"ScF3",-4.22,-3.931,-4.469
"Sc2O3",-3.94,-3.559,-4.002
"TiAs",-0.78,-0.926,-1.017
"TiCl4",-1.7,-1.597,-1.812
"TiN",-1.58,-1.723,-1.996
"TiO2",-3.26,-3.048,-3.487
"TiS",-1.41,-1.427,-1.552
"TiS2",-1.41,-1.28,-1.459
"Ti2O3",-3.15,-2.896,-3.307
"VN",-1.13,-0.976,-1.149
"VO2",-2.47,-2.346,-2.742
"YAs",-1.68,-1.553,-1.753
"YCl3",-2.59,-2.29,-2.612
"YF3",-4.45,-4.112,-4.726
"ZnCl2",-1.43,-1.149,-1.339
"ZnF2",-2.64,-2.318,-2.751
"ZnO",-1.81,-1.445,-1.728
"ZnS",-1.07,-0.811,-0.921
"ZnSb",-0.08,-0.032,-0.015
"ZnSe",-0.85,-0.716,-0.78
"ZnTe",-0.61,-0.47,-0.475
"Zn3As2",-0.28,-0.144,-0.123
"Zn3N2",-0.05,0.114,-0.034
"ZrN",-1.89,-1.683,-2.009
"ZrO2",-3.8,-3.36,-3.939
"ZrS2",-1.96,-1.519,-1.76
