"","Ref","PBE","B3LYP","M11","revM11"
"119",1.0916,1.1038,1.0953,1.1009,1.1003
"120",1.1057,1.1138,1.102,1.0967,1.0991
"121",1.0138,1.0213,1.0148,1.0193,1.0216
"122",1.1392,1.1511,1.1382,1.1312,1.1321
"123",1.3735,1.3631,1.3648,1.3761,1.3827
"124",1.1607,1.1711,1.1555,1.1453,1.1465
"125",0.9946,1.0056,0.9969,0.9979,1.0007
"126",1.1688,1.1759,1.1644,1.1596,1.161
"127",1.3627,1.3768,1.367,1.3635,1.3601
"128",1.3794,1.3791,1.375,1.3693,1.3718
"129",1.0752,1.0854,1.0763,1.0794,1.0786
"130",1.3743,1.38,1.3763,1.3701,1.3716
"131",1.0764,1.0837,1.0747,1.0774,1.0771
"132",1.3616,1.3688,1.3627,1.3574,1.3568
"133",1.0011,1.0132,1.0046,1.0042,1.007
"134",1.3103,1.3206,1.31,1.3043,1.3023
"135",1.077,1.0859,1.0772,1.0807,1.0799
"136",1.1896,1.2019,1.1901,1.1836,1.1848
"137",1.3843,1.4038,1.3912,1.3824,1.3771
"138",1.4857,1.4878,1.4871,1.4952,1.496
"139",1.332,1.3386,1.3285,1.3196,1.3191
"140",1.0761,1.0867,1.0776,1.0806,1.0795
"141",1.0111,1.022,1.0132,1.0102,1.0133
"142",1.4281,1.4376,1.4296,1.4193,1.4109
"143",1.4615,1.4693,1.4632,1.4629,1.4632
"144",1.0814,1.0939,1.0844,1.0865,1.0853
"145",1.2075,1.2145,1.2046,1.2003,1.2011
"146",1.5037,1.5075,1.5052,1.5054,1.5052
"147",1.104,1.124,1.1119,1.1134,1.1099
"148",1.5165,1.5348,1.5336,1.5308,1.5286
"149",1.0946,1.1051,1.0959,1.0962,1.0951
"150",1.0879,1.0974,1.0892,1.0905,1.0899
"151",1.0888,1.0984,1.0902,1.0917,1.0911
"152",1.4956,1.4967,1.4966,1.4981,1.4984
"153",1.0895,1.1016,1.0931,1.0936,1.0928
"154",1.088,1.0984,1.09,1.0915,1.0908
"155",1.3326,1.3359,1.3271,1.3221,1.3215
"156",1.0841,1.0954,1.0863,1.0883,1.0872
"157",1.0804,1.0903,1.0816,1.0843,1.0835
"158",1.0818,1.0927,1.0837,1.0866,1.0856
"159",1.409,1.4129,1.4098,1.4085,1.4095
"160",1.3289,1.3394,1.3275,1.3201,1.3183
"161",1.0757,1.086,1.0772,1.0801,1.0793
"162",1.3765,1.3851,1.3764,1.3719,1.3697
"163",1.0739,1.0839,1.0751,1.0774,1.0771
"164",1.3519,1.36,1.3537,1.3485,1.3482
"165",1.0745,1.0848,1.0759,1.0787,1.0783
"166",1.3441,1.3501,1.3451,1.3316,1.333
"167",1.0014,1.0125,1.0042,1.0047,1.0074
"168",1.3778,1.3859,1.3777,1.371,1.3704
"169",1.3926,1.3977,1.3924,1.3895,1.3902
"170",1.0791,1.0904,1.0812,1.0837,1.0826
"171",1.3324,1.3411,1.3304,1.3218,1.3217
"172",1.0804,1.0922,1.0826,1.0856,1.0839
"173",1.3888,1.3949,1.3883,1.3834,1.3834
"174",1.0802,1.0908,1.0818,1.0846,1.0835
"175",1.3907,1.397,1.3905,1.3861,1.3858
"176",1.0796,1.0904,1.0812,1.0835,1.0826
"177",1.3358,1.3419,1.3337,1.3275,1.3276
"178",1.0818,1.0937,1.0841,1.0873,1.0856
"179",1.4228,1.424,1.4214,1.4193,1.4214
"180",1.0745,1.0851,1.0764,1.0789,1.0787
"181",1.3732,1.3827,1.3735,1.3692,1.366
"182",1.3694,1.3758,1.3713,1.3653,1.3657
"183",1.0744,1.0842,1.0755,1.0785,1.0783
"184",1.0007,1.0112,1.0032,1.0033,1.0062
"185",1.3502,1.3713,1.3598,1.3586,1.3559
"186",1.4233,1.424,1.423,1.4223,1.4253
"187",1.0792,1.0885,1.0797,1.0819,1.0814
"188",1.3625,1.3736,1.3634,1.3583,1.3552
"189",1.7127,1.7271,1.7257,1.715,1.7131
"190",1.0772,1.0853,1.0765,1.0793,1.0792
"191",1.4703,1.4718,1.4705,1.4781,1.4799
"192",1.2109,1.2201,1.2092,1.2023,1.2028
"193",1.1044,1.1214,1.1092,1.1112,1.1077
"194",1.0817,1.0923,1.0831,1.0852,1.084
"195",1.3355,1.3409,1.3314,1.3238,1.3233
"196",1.0826,1.0931,1.0838,1.0874,1.0859
"197",1.0792,1.0898,1.0811,1.0841,1.0829
"198",1.3417,1.3551,1.345,1.3404,1.3375
"199",0.9656,0.9804,0.9703,0.9664,0.9695
"200",1.1973,1.2082,1.1977,1.1943,1.1953
"201",1.0918,1.1062,1.096,1.0992,1.096
"202",1.5149,1.529,1.5243,1.5296,1.5295
"203",1.1006,1.1169,1.1052,1.1069,1.1036
"204",1.2051,1.2127,1.2019,1.1961,1.1972
"205",2.53,2.56,2.585,2.556,2.555
"206",2.472,2.52,2.545,2.489,2.504
"207",2.219,2.252,2.28,2.308,2.273
"208",2.02,2.156,2.421,2.505,2.32
"209",1.596,1.555,1.609,1.725,1.68
"210",2.27,2.213,2.304,2.267,2.273
"211",2.155,2.12,2.295,2.33,2.295
"212",2.28,2.236,2.238,2.247,2.236
"213",2.48,2.472,2.496,2.484,2.472
"214",2.333,2.331,2.335,2.416,2.424
"218",1.215,1.469,1.202,1.2,1.218
"219",0.894,0.804,0.907,0.919,0.892
"220",2.109,2.272,2.109,2.119,2.11
"221",1.426,1.38,1.38,1.418,1.402
"222",2.578,2.889,2.792,2.62,2.663
"223",1.16,1.511,1.415,1.204,1.265
"224",1.431,1.484,1.471,1.428,1.432
"225",2.187,2.302,2.282,2.215,2.195
"226",1.226,1.227,1.223,1.217,1.217
"227",1.48,1.493,1.489,1.49,1.482
"228",2.96,2.986,2.979,2.98,2.964
"229",1.48,1.493,1.489,1.49,1.482
"233",2.305,2.336,2.355,2.312,2.292
"234",4.61,4.672,4.71,4.624,4.584
"235",2.305,2.336,2.355,2.312,2.292
"236",2.02,2.552,2.157,2.005,1.995
"237",4.134,4.354,4.234,4.155,4.123
"238",2.114,1.878,2.077,2.15,2.128
"239",1.758,1.756,1.771,1.763,1.743
"240",3.745,3.842,3.821,3.766,3.729
"241",1.988,2.087,2.051,2.004,1.987
"242",1.127,1.119,1.11,1.106,1.108
"243",2.201,2.353,2.285,2.207,2.228
"244",1.439,1.583,1.526,1.461,1.478
"245",1.351,1.339,1.333,1.332,1.333
"246",1.925,2.242,2.21,2.041,1.996
"247",2.662,2.941,2.875,2.724,2.686
"248",1.187,1.193,1.18,1.17,1.174
"249",1.183,1.201,1.19,1.177,1.173
"250",1.387,1.376,1.388,1.444,1.438
"251",1.289,1.404,1.345,1.296,1.278
"252",2.501,2.549,2.528,2.509,2.506
"253",1.24,1.168,1.201,1.253,1.266
"254",1.301,1.276,1.302,1.293,1.274
"255",2.697,2.745,2.722,2.711,2.703
"256",1.398,1.468,1.421,1.421,1.435
"257",1.246,0.974,1.288,1.254,1.256
"258",2.337,2.872,2.349,2.345,2.336
"259",1.103,2.031,1.093,1.108,1.098
"260",1.248,1.209,1.205,1.247,1.265
"261",2.49,2.516,2.506,2.495,2.492
"262",1.248,1.309,1.302,1.259,1.239
