"Dataset","Methods","ctd","out","mue","u_mue","mse","u_mse","rmsd","u_rmsd","skew","u_skew","kurt","u_kurt","kurtcs","u_kurtcs","q95hd","u_q95hd","gini","u_gini","lasym","u_lasym","pietra","u_pietra"
"Ref_Student","df=4",-1,FALSE,1.0299,0.034,0.017045,0.047,1.4933,0.095,1.5145,0.73,16.744,5,0.79183,0.2,2.8007,0.12,0.46808,0.012,0.92339,0.023,0.33598,0.0086
"Ref_Student","df=5",-1,FALSE,0.9075,0.028,0.014017,0.043,1.2801,0.086,1.1565,1.1,19.674,9.6,0.5244,0.21,2.3912,0.12,0.45664,0.012,0.86959,0.022,0.32794,0.0086
"Ref_Student","df=6",-1,FALSE,0.91334,0.024,0.03055,0.035,1.1744,0.032,0.13346,0.12,3.8497,0.31,0.29315,0.14,2.3709,0.083,0.42583,0.008,0.91247,0.019,0.30852,0.0065
"Ref_Student","df=7",-1,FALSE,0.87544,0.022,-0.039955,0.035,1.1309,0.03,0.030901,0.13,3.9062,0.3,0.31658,0.15,2.3114,0.088,0.43191,0.0083,0.87771,0.018,0.31169,0.0068
"Ref_Student","df=8",-1,FALSE,0.87122,0.025,0.015984,0.036,1.1653,0.039,0.3173,0.22,5.3394,0.72,0.53455,0.17,2.3049,0.094,0.45228,0.0092,0.87722,0.017,0.32887,0.0073
"Ref_Student","df=9",-1,FALSE,0.86878,0.023,0.042616,0.036,1.1233,0.03,0.029496,0.13,3.9053,0.43,0.27271,0.14,2.2863,0.089,0.43552,0.0089,0.87984,0.018,0.31552,0.0073
"Ref_Student","df=10",-1,FALSE,0.85773,0.022,-0.073488,0.036,1.0933,0.03,-0.16786,0.13,3.8881,0.33,0.22633,0.17,2.1319,0.091,0.41783,0.0089,0.87328,0.019,0.30303,0.007
"Ref_Student","df=20",-1,FALSE,0.86537,0.02,0.075489,0.035,1.0836,0.025,0.029006,0.086,3.1152,0.17,-0.019001,0.12,2.1838,0.07,0.41323,0.0085,0.82569,0.018,0.29977,0.0071
"Ref_Student","df=50",-1,FALSE,0.82132,0.02,0.012152,0.032,1.0276,0.023,-0.017722,0.08,3.0342,0.15,-0.040583,0.11,2.0191,0.049,0.40981,0.0077,0.85191,0.018,0.29746,0.0064
"Ref_Student","df=100",-1,FALSE,0.79536,0.02,-0.049271,0.031,1.0107,0.024,0.15784,0.081,3.1601,0.16,0.15213,0.14,1.9814,0.059,0.42969,0.0078,0.84782,0.018,0.31751,0.0066
"Ref_StudentBias1","df=1",-1,FALSE,4.821,1.1,0.061127,1,32.9,13,-21.679,8,567.44,200,8.9882,1.5,12.177,1.5,0.77167,0.046,1.1436,0.017,0.61693,0.053
"Ref_StudentBias1","df=2",-1,FALSE,1.6662,0.061,0.99193,0.071,2.3386,0.16,-0.4658,0.79,19.119,3.6,2.6496,0.49,4.501,0.31,0.48286,0.013,1.0032,0.028,0.3388,0.01
"Ref_StudentBias1","df=3",-1,FALSE,1.4741,0.041,1.0009,0.051,1.6673,0.073,-0.41569,0.35,8.8959,1.3,1.3783,0.26,3.8869,0.15,0.43036,0.0091,0.92832,0.02,0.30868,0.007
"Ref_StudentBias1","df=4",-1,FALSE,1.3673,0.038,1.0288,0.046,1.4588,0.072,0.21149,0.5,10.278,2.3,0.85304,0.21,3.3221,0.12,0.42087,0.0097,0.87063,0.02,0.30036,0.0071
"Ref_StudentBias1","df=5",-1,FALSE,1.2632,0.033,0.98658,0.041,1.3097,0.066,0.28578,0.62,11.378,3.3,0.9157,0.17,3.1018,0.12,0.41433,0.0098,0.87523,0.021,0.29434,0.0074
"Ref_StudentBias1","df=6",-1,FALSE,1.2629,0.03,0.98098,0.038,1.2296,0.036,0.22981,0.14,4.4245,0.33,0.73539,0.2,3.0163,0.094,0.39398,0.0084,0.88244,0.019,0.28096,0.0065
"Ref_StudentBias1","df=7",-1,FALSE,1.2682,0.03,1.0282,0.039,1.1756,0.031,0.11261,0.11,3.7546,0.26,0.34967,0.14,2.9493,0.092,0.39206,0.008,0.85213,0.018,0.28583,0.0064
"Ref_StudentBias1","df=8",-1,FALSE,1.2329,0.027,0.95019,0.036,1.1732,0.035,-0.31616,0.17,4.4153,0.68,0.40184,0.15,2.8934,0.083,0.38867,0.0079,0.851,0.018,0.27996,0.0063
"Ref_StudentBias1","df=9",-1,FALSE,1.2309,0.027,0.99817,0.035,1.1232,0.027,-0.12218,0.11,3.6029,0.25,0.24387,0.14,2.8739,0.073,0.38844,0.0077,0.87019,0.019,0.28297,0.0062
"Ref_StudentBias1","df=10",-1,FALSE,1.2143,0.027,0.97243,0.035,1.1151,0.03,-0.24491,0.099,3.5927,0.21,0.44162,0.15,2.8247,0.068,0.38838,0.0075,0.81324,0.018,0.28169,0.0063
"Ref_StudentBias1","df=20",-1,FALSE,1.2022,0.026,1.0274,0.032,1.0333,0.025,-0.022115,0.095,3.3231,0.18,-0.035461,0.12,2.7212,0.045,0.38195,0.008,0.82046,0.018,0.27719,0.0066
"Ref_StudentBias1","df=50",-1,FALSE,1.1801,0.026,0.99442,0.032,1.0216,0.024,-0.044889,0.081,3.0811,0.16,-0.047025,0.12,2.6648,0.088,0.37888,0.0079,0.82269,0.019,0.27734,0.0065
"Ref_StudentBias1","df=100",-1,FALSE,1.1684,0.024,0.96297,0.032,1.0198,0.026,-0.12879,0.09,3.4677,0.17,0.49135,0.15,2.5959,0.074,0.36833,0.0077,0.83737,0.018,0.26567,0.0061
"Ref_StudentBias2","df=1",-1,FALSE,4.5539,0.77,2.5718,0.78,24.437,12,27.788,12,842.73,350,10.68,1.7,13.5,1.6,0.60716,0.06,1.2173,0.024,0.4609,0.059
"Ref_StudentBias2","df=2",-1,FALSE,2.4767,0.17,1.7754,0.18,5.7645,2.5,-24.203,10,697.8,290,1.8728,0.42,4.9373,0.25,0.40696,0.038,1.0341,0.067,0.2763,0.025
"Ref_StudentBias2","df=3",-1,FALSE,2.1485,0.047,2.0121,0.052,1.665,0.13,2.0279,1.2,27.771,10,1.0783,0.25,4.3755,0.18,0.32975,0.01,0.87127,0.027,0.22718,0.0069
"Ref_StudentBias2","df=4",-1,FALSE,2.1406,0.037,1.9953,0.044,1.4422,0.056,-0.13674,0.3,7.2664,1,1.1827,0.27,4.1225,0.16,0.30487,0.0081,0.84589,0.021,0.21219,0.0058
"Ref_StudentBias2","df=5",-1,FALSE,2.073,0.036,1.9737,0.041,1.2979,0.044,-0.02798,0.24,5.7409,0.81,0.70249,0.21,3.9591,0.11,0.29927,0.0076,0.8279,0.021,0.20908,0.0055
"Ref_StudentBias2","df=6",-1,FALSE,2.0724,0.036,2.0093,0.04,1.2138,0.04,-0.29803,0.28,5.2735,1.6,0.06637,0.14,4.0076,0.087,0.29965,0.0069,0.83635,0.019,0.21283,0.0053
"Ref_StudentBias2","df=7",-1,FALSE,1.9964,0.032,1.9259,0.036,1.1745,0.036,-0.19382,0.18,4.8695,0.57,0.47838,0.19,3.9458,0.11,0.29336,0.0071,0.83504,0.022,0.20508,0.0054
"Ref_StudentBias2","df=8",-1,FALSE,2.0292,0.032,1.9491,0.036,1.17,0.039,-0.37743,0.21,5.1154,0.91,0.4813,0.16,3.7699,0.074,0.28263,0.007,0.80999,0.02,0.19939,0.0053
"Ref_StudentBias2","df=9",-1,FALSE,2.0663,0.034,2.0226,0.037,1.1343,0.029,0.060138,0.11,3.7717,0.27,0.38228,0.15,3.9051,0.068,0.28538,0.0072,0.85141,0.019,0.20144,0.0053
"Ref_StudentBias2","df=10",-1,FALSE,2.0162,0.034,1.9837,0.036,1.1083,0.028,0.058648,0.11,3.4938,0.24,0.17926,0.12,3.792,0.1,0.29273,0.0072,0.80434,0.02,0.20765,0.0055
"Ref_StudentBias2","df=20",-1,FALSE,2.0369,0.031,2.0153,0.033,1.0255,0.026,0.036006,0.11,3.5539,0.32,0.11694,0.13,3.7752,0.073,0.27174,0.0069,0.85898,0.02,0.19256,0.0051
"Ref_StudentBias2","df=50",-1,FALSE,2.0677,0.03,2.046,0.032,1.0148,0.022,-0.03993,0.072,3.0239,0.13,0.07635,0.12,3.823,0.064,0.26646,0.0061,0.82228,0.019,0.19019,0.0048
"Ref_StudentBias2","df=100",-1,FALSE,2.0704,0.029,2.0561,0.03,0.98441,0.022,-0.049724,0.073,2.9866,0.14,0.0012641,0.12,3.7028,0.044,0.26142,0.0065,0.81461,0.02,0.18608,0.005
"Ref_GandH","g=0.1",-1,FALSE,0.77882,0.019,0.092112,0.03,0.97853,0.022,0.33078,0.081,3.1109,0.22,-0.0087483,0.12,1.9457,0.055,0.41726,0.0082,0.84906,0.018,0.30214,0.0068
"Ref_GandH","g=0.2",-1,FALSE,0.79808,0.019,0.097661,0.031,1.0129,0.026,0.58137,0.11,3.7688,0.42,-0.033699,0.11,1.9668,0.056,0.4186,0.0086,0.87885,0.019,0.30385,0.0068
"Ref_GandH","g=0.3",-1,FALSE,0.78731,0.022,0.13438,0.032,1.036,0.032,1.0007,0.12,4.7115,0.49,0.1606,0.14,2.0337,0.11,0.44276,0.0097,0.87654,0.021,0.31564,0.0077
"Ref_GandH","g=0.4",-1,FALSE,0.87277,0.026,0.22162,0.036,1.1517,0.037,1.1438,0.12,4.8152,0.61,0.24355,0.15,2.4388,0.12,0.44783,0.0093,0.89919,0.019,0.3202,0.0073
"Ref_GandH","g=0.5",-1,FALSE,0.83214,0.025,0.23864,0.036,1.1352,0.044,1.5454,0.17,7.1882,0.89,0.30178,0.2,2.2796,0.11,0.45468,0.011,0.92332,0.021,0.32261,0.008
"Ref_GandH","g=0.6",-1,FALSE,0.8878,0.032,0.30452,0.04,1.308,0.069,2.2786,0.32,12.038,3,0.85475,0.24,2.7268,0.19,0.48768,0.012,1.0064,0.022,0.34435,0.0096
"Ref_GandH","g=0.7",-1,FALSE,0.92054,0.036,0.35568,0.043,1.415,0.08,2.5986,0.34,14.285,3.1,1.0042,0.29,3.021,0.18,0.51365,0.012,1.0136,0.023,0.36617,0.01
"Ref_GandH","g=0.8",-1,FALSE,0.95356,0.037,0.42744,0.046,1.4251,0.072,2.2503,0.21,10.58,1.5,0.52355,0.22,3.3617,0.17,0.51503,0.012,1.051,0.023,0.36784,0.01
"Ref_GandH","g=0.9",-1,FALSE,1.0413,0.049,0.5064,0.056,1.7535,0.12,3.206,0.34,18.484,3.2,1.4028,0.29,3.949,0.28,0.55265,0.013,1.1483,0.019,0.41216,0.014
"Ref_GandH","g=1",-1,FALSE,1.1316,0.072,0.63438,0.079,2.4528,0.39,7.9188,1.9,106.18,38,1.8873,0.45,3.853,0.34,0.59753,0.02,1.1057,0.022,0.45306,0.018
"Ref_GandHBias1","g=0.1",-1,FALSE,1.2152,0.027,1.0753,0.032,1.0355,0.023,0.21976,0.073,3.0388,0.15,0.016235,0.13,2.8459,0.074,0.39631,0.0081,0.81932,0.019,0.28885,0.0066
"Ref_GandHBias1","g=0.2",-1,FALSE,1.1728,0.028,1.0741,0.031,1.0244,0.028,0.74404,0.098,4.0659,0.31,0.41451,0.16,2.9668,0.12,0.41551,0.0083,0.89315,0.019,0.30066,0.0068
"Ref_GandHBias1","g=0.3",-1,FALSE,1.2365,0.033,1.1722,0.035,1.1343,0.053,1.6782,0.42,10.343,3.7,0.23127,0.15,3.2346,0.11,0.43993,0.009,0.89901,0.018,0.32006,0.0071
"Ref_GandHBias1","g=0.4",-1,FALSE,1.2264,0.035,1.1739,0.037,1.1373,0.042,1.415,0.2,6.547,1.4,0.36385,0.17,3.385,0.18,0.45633,0.0091,0.87281,0.018,0.33044,0.0073
"Ref_GandHBias1","g=0.5",-1,FALSE,1.2808,0.038,1.2496,0.039,1.2297,0.055,1.8893,0.19,9.0875,1.2,0.40556,0.25,3.3784,0.15,0.47002,0.0098,0.86888,0.018,0.34062,0.0077
"Ref_GandHBias1","g=0.6",-1,FALSE,1.3493,0.04,1.3313,0.04,1.2476,0.05,1.7088,0.17,7.5064,1,0.37444,0.19,3.7015,0.13,0.46583,0.009,0.88016,0.019,0.33812,0.0072
"Ref_GandHBias1","g=0.7",-1,FALSE,1.3643,0.043,1.3557,0.043,1.3524,0.099,2.9307,0.62,20.483,6.4,0.66755,0.24,3.7458,0.15,0.47152,0.011,0.91225,0.019,0.34003,0.008
"Ref_GandHBias1","g=0.8",-1,FALSE,1.4565,0.052,1.4541,0.052,1.6361,0.11,3.2861,0.35,19.747,3.5,1.1166,0.32,4.4772,0.28,0.50255,0.011,0.936,0.019,0.36479,0.0088
"Ref_GandHBias1","g=0.9",-1,FALSE,1.4434,0.049,1.4433,0.049,1.517,0.11,3.3889,0.43,21.417,4.7,1.5755,0.41,4.0442,0.19,0.4701,0.011,0.97823,0.02,0.33715,0.0088
"Ref_GandHBias1","g=1",-1,FALSE,1.6637,0.067,1.6637,0.067,2.1158,0.18,4.2267,0.57,30.748,6.8,2.1366,0.48,5.2536,0.34,0.52178,0.012,1.0251,0.02,0.38565,0.01
"Ref_GandHBias2","g=0.1",-1,FALSE,2.1221,0.032,2.1138,0.033,1.046,0.026,0.42697,0.11,3.5446,0.32,-0.071619,0.12,3.9587,0.078,0.27172,0.0061,0.87453,0.019,0.19311,0.0046
"Ref_GandHBias2","g=0.2",-1,FALSE,2.0937,0.032,2.0922,0.032,1.0045,0.028,0.63063,0.092,3.6729,0.3,0.13063,0.12,3.9324,0.073,0.26576,0.0063,0.88937,0.02,0.18726,0.0047
"Ref_GandHBias2","g=0.3",-1,FALSE,2.1354,0.034,2.1354,0.034,1.0622,0.036,1.1936,0.21,6.0328,1.4,0.32653,0.16,4.0823,0.13,0.26782,0.006,0.96358,0.019,0.18941,0.0045
"Ref_GandHBias2","g=0.4",-1,FALSE,2.2097,0.037,2.2097,0.037,1.1639,0.042,1.3988,0.15,6.4147,0.8,0.32646,0.18,4.2527,0.13,0.27985,0.0063,0.93953,0.019,0.19983,0.0047
"Ref_GandHBias2","g=0.5",-1,FALSE,2.2941,0.035,2.2941,0.035,1.1759,0.039,1.3181,0.14,5.5899,0.78,0.071819,0.15,4.6013,0.11,0.27373,0.0056,1.0002,0.019,0.197,0.0044
"Ref_GandHBias2","g=0.6",-1,FALSE,2.2864,0.038,2.2864,0.038,1.2133,0.05,1.8213,0.17,7.9264,1.2,0.75225,0.21,4.6954,0.16,0.2704,0.0064,1.0433,0.02,0.1929,0.0049
"Ref_GandHBias2","g=0.7",-1,FALSE,2.3876,0.047,2.3876,0.047,1.5185,0.13,3.9608,0.89,34.541,11,0.77385,0.28,5.0926,0.17,0.28815,0.0088,1.0826,0.02,0.20844,0.0065
"Ref_GandHBias2","g=0.8",-1,FALSE,2.4604,0.054,2.4604,0.054,1.657,0.11,3.1587,0.38,18.783,4.1,1.0108,0.31,5.3974,0.23,0.30557,0.0089,1.1185,0.019,0.22222,0.007
"Ref_GandHBias2","g=0.9",-1,FALSE,2.5477,0.057,2.5477,0.057,1.8243,0.16,4.1513,0.94,35.344,14,1.5863,0.36,5.7651,0.3,0.30995,0.0099,1.1151,0.02,0.22793,0.0076
"Ref_GandHBias2","g=1",-1,FALSE,2.5771,0.061,2.5771,0.061,1.991,0.17,4.3617,0.6,33.387,7.7,1.7278,0.41,5.9353,0.37,0.3179,0.011,1.1089,0.02,0.23506,0.0083
"BOR2019","LDA",-1,FALSE,1.1672,0.048,1.1522,0.049,1.0693,0.093,2.7092,0.59,16.19,5.8,1.5666,0.48,3.183,0.21,0.42418,0.015,0.96949,0.038,0.29581,0.012
"BOR2019","LDA + SOC",-1,FALSE,1.2387,0.048,1.231,0.049,1.0616,0.093,2.7664,0.61,16.676,6,1.6548,0.49,3.258,0.22,0.39994,0.015,0.99866,0.045,0.27754,0.011
"BOR2019","PBE",-1,FALSE,1.0523,0.046,1.0267,0.047,1.0261,0.093,2.7939,0.66,17.579,6.6,1.6037,0.49,2.9538,0.2,0.44188,0.016,0.9755,0.029,0.31113,0.012
"BOR2019","PBE + SOC",-1,FALSE,1.1248,0.046,1.1138,0.046,1.0144,0.094,2.9045,0.68,18.452,6.9,1.6426,0.5,3.0397,0.2,0.41528,0.015,0.97881,0.036,0.28934,0.012
"BOR2019","PBE_SOL",-1,FALSE,1.1172,0.047,1.0986,0.047,1.0389,0.089,2.6475,0.59,15.83,5.7,1.5244,0.49,3.0807,0.2,0.43052,0.015,0.97457,0.033,0.30106,0.012
"BOR2019","HLE16",-1,FALSE,0.59884,0.037,0.37368,0.042,0.89549,0.084,2.7375,0.54,17.316,4.2,1.5827,0.46,1.8837,0.18,0.54012,0.018,0.96741,0.031,0.39118,0.015
"BOR2019","HLE16 + SOC",-1,FALSE,0.61015,0.038,0.51123,0.04,0.85954,0.089,3.1985,0.6,21.006,5.3,1.6353,0.47,1.9517,0.19,0.55013,0.018,0.96532,0.031,0.40225,0.015
"BOR2019","BJ",-1,FALSE,0.79105,0.037,0.72717,0.039,0.86942,0.073,2.5292,0.52,14.734,4.6,1.7409,0.47,2.3121,0.2,0.46739,0.016,0.95785,0.031,0.33398,0.012
"BOR2019","mBJ",-1,FALSE,0.49656,0.025,0.22212,0.031,0.68348,0.051,1.4937,0.52,10.421,3.2,0.72105,0.32,1.4059,0.081,0.49003,0.016,0.88401,0.028,0.35817,0.012
"BOR2019","SCAN",-1,FALSE,0.8131,0.039,0.74266,0.042,0.91975,0.085,2.7898,0.68,18.037,6.6,1.5767,0.47,2.4318,0.19,0.47337,0.017,0.95303,0.031,0.33818,0.013
"BOR2019","HSE06",-1,FALSE,0.52636,0.031,0.098536,0.037,0.84744,0.075,2.4106,0.68,16.558,5.8,2.6622,0.5,1.6994,0.16,0.54605,0.017,0.97369,0.027,0.40153,0.014
"BOR2019","HSE14",-1,FALSE,0.57269,0.03,-0.17169,0.036,0.83054,0.061,1.1504,0.54,10.811,2.4,2.3462,0.43,1.8164,0.13,0.51165,0.015,0.89279,0.027,0.37239,0.012
"BOR2019","HSE_mix",-1,FALSE,0.64283,0.032,-0.36956,0.038,0.85645,0.054,-0.32023,0.45,7.9144,1.5,1.9823,0.4,1.9721,0.13,0.51586,0.015,0.86526,0.027,0.37667,0.012
"BOR2019","PBE0",-1,FALSE,0.7777,0.028,-0.47213,0.039,0.86792,0.072,2.1088,0.62,14.5,4.6,2.8445,0.49,1.8296,0.12,0.37808,0.014,0.92321,0.031,0.26691,0.01
"BOR2019","PBE0_mix",-1,FALSE,0.81724,0.036,-0.59525,0.043,0.96544,0.054,-0.83836,0.3,6.4592,0.91,1.7571,0.38,2.445,0.15,0.47448,0.014,0.90828,0.025,0.34425,0.011
"HAI2018","LSDA",-1,FALSE,0.13009,0.0098,0.056279,0.014,0.17064,0.012,0.73756,0.27,4.3862,0.78,0.72745,0.48,0.35502,0.052,0.49087,0.027,0.77616,0.045,0.36261,0.022
"HAI2018","GGA",-1,FALSE,0.10225,0.013,0.060839,0.014,0.18298,0.041,4.3812,1.3,32.219,12,2.2653,1.5,0.3402,0.076,0.57123,0.04,0.96676,0.052,0.41921,0.031
"HAI2018","mGGA",-1,FALSE,0.084066,0.0051,0.055673,0.0074,0.09187,0.0056,0.22442,0.21,3.5641,0.37,0.83333,0.46,0.22278,0.017,0.42132,0.02,0.90608,0.044,0.30782,0.017
"HAI2018","hGGA",-1,FALSE,0.050895,0.0039,-0.012077,0.0056,0.069613,0.0054,-0.30504,0.36,4.7753,0.67,1.0733,0.53,0.16079,0.019,0.4818,0.022,0.90826,0.047,0.35346,0.019
"HAI2018","hmGGA",-1,FALSE,0.051132,0.0037,0.015457,0.0056,0.068157,0.0049,0.68196,0.24,4.2736,0.6,1.0715,0.47,0.14108,0.018,0.47545,0.023,0.90349,0.046,0.34934,0.019
"NAR2019","G4MP2",-1,FALSE,0.7941,0.033,-0.060588,0.048,1.0567,0.046,-0.34753,0.22,4.4332,0.72,0.93653,0.26,2.209,0.087,0.45723,0.012,0.88163,0.029,0.33931,0.01
"NAR2019","B3LYP",-1,FALSE,3.9907,0.15,3.6137,0.17,3.6745,0.32,1.9095,0.82,15.445,6.5,0.92402,0.3,9.2503,0.55,0.4001,0.016,0.89253,0.029,0.28259,0.011
"NAR2019","M06-2X",-1,FALSE,2.7052,0.099,-0.087473,0.17,3.4561,0.2,1.242,0.42,7.1166,2.7,-0.20508,0.18,6.0963,0.46,0.39486,0.014,0.82635,0.029,0.28348,0.01
"NAR2019","wB97X-D",-1,FALSE,1.8543,0.092,0.52329,0.13,2.654,0.25,2.13,0.93,17.66,7.7,0.53333,0.23,5.1783,0.38,0.46792,0.018,0.9606,0.038,0.33104,0.013
"PER2018","B3LYP",-1,FALSE,1.1819,0.09,0.97928,0.1,1.5103,0.12,1.614,0.3,7.2574,1.1,4.9254,0.96,4.4865,0.49,0.51491,0.02,1.0944,0.034,0.37996,0.02
"PER2018","B97-1",-1,FALSE,0.85462,0.052,0.50593,0.069,1.0514,0.082,0.25805,0.39,6.6806,0.75,3.475,0.72,2.6704,0.35,0.44402,0.021,0.96601,0.058,0.30688,0.017
"PER2018","BH&HLYP",-1,FALSE,4.8311,0.23,4.7918,0.23,3.4953,0.24,1.3889,0.25,5.6335,1.1,0.60202,0.48,11.744,0.61,0.36837,0.015,1.008,0.039,0.26911,0.012
"PER2018","BLYP",-1,FALSE,1.627,0.1,0.41088,0.14,2.2323,0.17,-1.2904,0.27,6.5931,0.87,3.4699,0.78,5.3257,0.56,0.46465,0.02,1.072,0.07,0.329,0.018
"PER2018","CAM-B3LYP",-1,FALSE,0.90408,0.091,0.55114,0.1,1.5431,0.12,1.7781,0.26,6.611,1.1,5.1012,1.3,4.1328,0.37,0.66318,0.015,0.99141,0.042,0.53026,0.017
"PER2018","LC-ωPBE",-1,FALSE,1.0939,0.095,0.73093,0.11,1.6697,0.14,1.7247,0.35,8.0118,1.8,2.8174,0.82,4.3381,0.51,0.60329,0.018,0.9276,0.037,0.46746,0.017
"PER2018","PBE",-1,FALSE,2.7916,0.16,-2.5326,0.17,2.6678,0.2,-1.335,0.23,6.041,0.86,1.9695,0.52,8.0647,0.83,0.42315,0.018,0.95855,0.042,0.30198,0.015
"PER2018","PBE0",-1,FALSE,0.92456,0.074,0.23639,0.096,1.442,0.12,1.7744,0.21,7.1871,1,2.994,0.86,3.2688,0.5,0.56521,0.021,0.90525,0.036,0.42144,0.019
"PER2018","PW86PBE",-1,FALSE,1.6352,0.12,-0.53545,0.16,2.4625,0.2,-1.4858,0.27,7.0637,1.1,2.6844,0.59,6.1354,0.89,0.52769,0.021,0.98418,0.039,0.39481,0.018
"SCH2018","LDA",-1,FALSE,0.71559,0.031,0.68462,0.035,0.48557,0.024,0.14917,0.14,2.8664,0.22,0.13764,0.23,1.5148,0.07,0.34472,0.017,0.80751,0.044,0.2518,0.013
"SCH2018","PBE",-1,FALSE,0.18687,0.0099,0.093231,0.016,0.21256,0.0094,-0.11044,0.12,2.5127,0.18,-0.089637,0.22,0.41837,0.023,0.4139,0.02,0.77526,0.04,0.30877,0.017
"SCH2018","RPBE",-1,FALSE,0.21231,0.01,-0.17169,0.013,0.18856,0.0076,0.10973,0.12,2.2494,0.16,-0.64345,0.2,0.46332,0.021,0.37564,0.018,0.7986,0.042,0.28073,0.015
"SCH2018","vdW-DF2",-1,FALSE,0.20882,0.01,0.023282,0.017,0.25419,0.011,-0.17486,0.13,2.6425,0.19,-0.059188,0.27,0.50316,0.035,0.38764,0.018,0.78848,0.042,0.28726,0.015
"SCH2018","BEEF-vdW",-1,FALSE,0.14569,0.008,-0.0094872,0.013,0.18237,0.0083,-0.16862,0.11,2.5156,0.17,-0.088302,0.27,0.34049,0.012,0.42113,0.017,0.81642,0.039,0.31771,0.015
"SCH2018","mBEEF",-1,FALSE,0.20559,0.0099,0.057897,0.018,0.24212,0.014,-0.99989,0.14,3.4797,0.46,0.23825,0.32,0.48625,0.03,0.37626,0.018,0.81878,0.043,0.2742,0.015
"SCH2018","mBEEF-vdW",-1,FALSE,0.31154,0.013,0.22621,0.021,0.2848,0.014,-0.55838,0.13,2.9858,0.33,0.0010874,0.29,0.63641,0.023,0.34152,0.016,0.81332,0.047,0.25416,0.013
"THA2015","M11",-1,FALSE,0.030813,0.0029,0.0074089,0.0041,0.045132,0.0049,-0.74673,0.59,7.315,1.7,3.1787,0.87,0.10103,0.015,0.52938,0.025,0.93125,0.051,0.39108,0.022
